"country","years","rest_ha_yr","scenario"
"New Caledonia",47,16.8677492873909,"R"
"New Zealand",47,34.1445095511028,"R"
"Nicaragua",47,144.256174483414,"R"
"Nigeria",47,260.513512984614,"R"
"Oman",47,0.175250138289771,"R"
"Pakistan",47,137.094501903575,"R"
"Palau",47,0.511436469821693,"R"
"Panama",47,81.265459461187,"R"
"Papua New Guinea",47,277.305703187853,"R"
"Phillippines",47,355.051631687988,"R"
"Puerto Rico",47,8.38814007155604,"R"
"Qatar",47,0.519724920799278,"R"
"Saint-Martin",47,0.0561915570678691,"R"
"Saint Kitts and Nevis",47,0.0280153737279741,"R"
"Saint Lucia",47,0.0178115133836707,"R"
"Saint Vincent",47,0.0116561346930801,"R"
"Samoa",47,0.0127712952520315,"R"
"Sao Tome and Principe",47,1.97188795368592e-05,"R"
"Saudi Arabia",47,14.6608777161655,"R"
"Senegal",47,165.427154775197,"R"
"Seychelles",47,0.110403451610331,"R"
"Sierra Leone",47,30.932398529116,"R"
"Singapore",47,0.406713042476331,"R"
"Solomon Islands",47,38.1909490052668,"R"
"Somalia",47,2.8089334539577,"R"
"South Africa",47,3.34315976707988,"R"
"Sri Lanka",47,70.8459850100981,"R"
"Sudan",47,0.271087152491096,"R"
"Suriname",47,202.523237749416,"R"
"Taiwan",47,0.627469622705575,"R"
"Tanzania",47,84.5785434316557,"R"
"Thailand",47,363.515343359032,"R"
"Tonga",47,0.612134706592433,"R"
"Trinidad and Tobago",47,9.80135124358545,"R"
"Turks and Caicos Islands",47,23.3352517467939,"R"
"United Arab Emirates",47,13.8776625493857,"R"
"United States",47,502.890246483126,"R"
"Vanuatu",47,0.40635518851778,"R"
"Venezuela",47,269.818424296532,"R"
"Vietnam",47,394.752963869827,"R"
"Virgin Islands",47,0.0782041500560727,"R"
"Yemen",47,0.498974161222099,"R"
"American Samoa",47,0.000288840588702524,"PR"
"Angola",47,35.5239828966107,"PR"
"Anguilla",47,0.0236739457706936,"PR"
"Antigua and Barbuda",47,0.434678006812923,"PR"
"Aruba",47,0.383648060656537,"PR"
"Australia",47,828.494276968443,"PR"
"Bahamas",47,223.508160090721,"PR"
"Bahrain",47,0.0824802292131625,"PR"
"Bangladesh",47,348.41842292614,"PR"
"Barbados",47,0.000638013692421527,"PR"
"Belize",47,143.445817417695,"PR"
"Benin",47,0.621709898082285,"PR"
"Bonaire",47,0.842963713656747,"PR"
"Brazil",47,1198.0214524244,"PR"
"British Virgin Islands",47,0.0105151963847485,"PR"
"Brunei",47,8.64565623997891,"PR"
"Cambodia",47,113.998968524623,"PR"
"Cameroon",47,69.6886967478184,"PR"
"Cayman Islands",47,3.61392287320823,"PR"
"China",47,30.4050338332647,"PR"
"Colombia",47,481.674855054896,"PR"
"Comoros",47,0.00551659134035002,"PR"
"Costa Rica",47,32.6983602004425,"PR"
"Cuba",47,423.879799120932,"PR"
"Curaco",47,0.328634545874376,"PR"
"Democratic Republic of the Congo",47,23.2757670209956,"PR"
"Djibouti",47,0.252698166180306,"PR"
"Dominica",47,0.00110576791290409,"PR"
"Dominican Republic",47,20.2792686789052,"PR"
"East Timor",47,0.827547283045976,"PR"
"Ecuador",47,225.247598607617,"PR"
"Egypt",47,0.198292449369861,"PR"
"El Salvador",47,43.4866544975811,"PR"
"Equatorial Guinea",47,12.4432111658328,"PR"
"Eritrea",47,5.61964080772425,"PR"
"Fiji",47,15.571633394139,"PR"
"French Guiana",47,106.311194483515,"PR"
"Gabon",47,80.0055229437455,"PR"
"Gambia",47,32.3641951867324,"PR"
"Ghana",47,48.2726998122965,"PR"
"Grenada",47,0.0534986131641374,"PR"
"Guadeloupe",47,0.397191267143337,"PR"
"Guatemala",47,35.7299249786944,"PR"
"Guinea",47,120.261110866284,"PR"
"Guinea-Bissau",47,110.14912884427,"PR"
"Guyana",47,61.5475126527686,"PR"
"Haiti",47,34.3378111588867,"PR"
"Honduras",47,194.730746570549,"PR"
"India",47,426.870518066415,"PR"
"Indonesia",47,4267.22632067539,"PR"
"Iran",47,5.58342055809722,"PR"
"Ivory Coast",47,10.8285139426119,"PR"
"Jamaica",47,14.7741768348208,"PR"
"Japan",47,0.572156432291155,"PR"
"Kenya",47,77.1772480235001,"PR"
"Liberia",47,11.8298869749048,"PR"
"Madagascar",47,239.296052802786,"PR"
"Malaysia",47,455.8904173644,"PR"
"Martinique",47,0.0884124655067393,"PR"
"Mauritius",47,0.617930450100797,"PR"
"Mayotte",47,0.0797474497939007,"PR"
"Mexico",47,2902.42760464514,"PR"
"Micronesia",47,0.586271071375007,"PR"
"Mozambique",47,539.271990001451,"PR"
"Myanmar",47,1129.15448485914,"PR"
"New Caledonia",47,16.8677492873909,"PR"
"New Zealand",47,34.1445095511028,"PR"
"Nicaragua",47,144.256174483414,"PR"
"Nigeria",47,260.513512984614,"PR"
"Oman",47,0.175250138289771,"PR"
"Pakistan",47,137.094501903575,"PR"
"Palau",47,0.511436469821693,"PR"
"Panama",47,81.265459461187,"PR"
"Papua New Guinea",47,277.305703187853,"PR"
"Phillippines",47,355.051631687988,"PR"
"Puerto Rico",47,8.38814007155604,"PR"
"Qatar",47,0.519724920799278,"PR"
"Saint-Martin",47,0.0561915570678691,"PR"
